Offer_ID,Application_ID,Offer_Date,Stipend,Accepted
O0191,A0834,2025-06-12,5000,No
O0192,A2874,2025-09-11,10000,Yes
O0193,A2934,2025-02-06,8000,No
O0194,A0910,2025-09-17,15000,Yes
O0195,A1241,2025-11-19,8000,Yes
O0196,A0323,2025-09-03,5000,Yes
O0197,A1872,2025-10-30,10000,No
O0198,A1260,2025-09-18,5000,Yes
O0199,A1613,2025-05-16,8000,Yes
O0200,A1705,2025-07-23,5000,Yes
O0201,A2844,2025-02-19,15000,No
O0202,A1324,2025-11-23,12000,No
O0203,A1730,2025-01-07,12000,No
O0204,A2373,2025-03-07,25000,Yes
O0205,A0950,2025-02-26,15000,No
O0206,A0647,2025-03-23,15000,No
O0207,A0956,2025-04-01,5000,No
O0208,A2793,2025-02-10,25000,Yes
O0209,A0432,2025-04-03,20000,Yes
O0210,A2496,2025-10-07,5000,No
O0211,A0289,2025-04-25,20000,No
O0212,A1738,2025-10-14,12000,No
O0213,A1600,2025-08-21,25000,Yes
O0214,A1435,2025-10-07,15000,Yes
O0215,A0769,2025-03-07,25000,No
O0216,A0074,2025-05-21,15000,No
O0217,A2167,2025-09-05,20000,Yes
O0218,A2280,2025-05-02,8000,Yes
O0219,A0355,2025-12-06,12000,Yes
O0220,A1433,2025-06-25,25000,Yes
O0221,A0144,2025-07-29,5000,No
O0222,A1087,2025-08-26,5000,No
O0223,A0786,2025-05-03,20000,No
O0224,A0870,2025-08-31,25000,Yes
O0225,A1250,2025-11-17,15000,Yes
O0226,A0116,2025-06-28,25000,Yes
O0227,A2268,2025-02-03,25000,No
O0228,A1121,2025-08-29,5000,Yes
O0229,A1243,2025-01-28,15000,Yes
O0230,A0285,2025-11-29,5000,No
O0231,A1620,2025-03-21,20000,Yes
O0232,A2928,2025-09-07,15000,Yes
O0233,A2040,2025-03-01,20000,No
O0234,A0606,2025-03-26,12000,Yes
O0235,A0256,2025-05-20,25000,No
O0236,A1951,2025-09-01,10000,Yes
O0237,A2023,2025-04-01,25000,No
O0238,A0557,2025-09-27,20000,No
O0239,A0659,2025-12-04,10000,No
O0240,A1737,2025-10-26,20000,Yes
O0241,A2927,2025-04-21,8000,Yes
O0242,A0211,2025-05-07,5000,No
O0243,A2005,2025-03-07,12000,No
O0244,A2213,2025-08-24,12000,Yes
O0245,A1285,2025-09-22,15000,Yes
O0246,A2764,2025-07-18,20000,Yes
O0247,A0787,2025-02-14,5000,Yes
O0248,A1193,2025-12-12,20000,Yes
O0249,A0001,2025-11-06,20000,Yes
O0250,A2434,2025-11-27,25000,No
O0251,A1773,2025-06-06,12000,No
O0252,A1270,2025-02-07,20000,No
O0253,A0928,2025-02-26,10000,No
O0254,A1730,2025-12-12,25000,No
O0255,A0914,2025-10-16,25000,Yes
O0256,A0613,2025-08-06,5000,No
O0257,A0226,2025-03-01,25000,No
O0258,A1927,2025-10-09,5000,No
O0259,A2101,2025-02-12,5000,No
O0260,A1077,2025-10-03,15000,No
O0261,A0713,2025-06-29,12000,Yes
O0262,A2910,2025-07-07,25000,No
O0263,A0826,2025-01-14,8000,Yes
O0264,A2872,2025-12-30,12000,No
O0265,A1892,2025-03-13,5000,No
O0266,A2122,2025-03-07,12000,No
O0267,A2238,2025-01-27,12000,Yes
O0268,A0631,2025-05-04,20000,Yes
O0269,A2884,2025-05-06,8000,No
O0270,A1985,2025-10-14,5000,Yes
O0271,A0843,2025-05-21,15000,Yes
O0272,A0156,2025-08-22,10000,No
O0273,A2140,2025-01-24,12000,No
O0274,A0121,2025-12-22,12000,No
O0275,A2506,2025-03-30,8000,No
O0276,A1607,2025-02-24,8000,No
O0277,A0576,2025-09-27,8000,Yes
O0278,A0272,2025-06-19,10000,No
O0279,A2846,2025-04-10,12000,No
O0280,A2283,2025-11-02,5000,Yes
O0281,A2643,2025-07-20,8000,No
O0282,A2223,2025-01-18,15000,No
O0283,A1706,2025-08-20,25000,No
O0284,A1519,2025-12-23,8000,Yes
O0285,A0710,2025-09-09,25000,No
O0286,A1041,2025-04-16,12000,Yes
O0287,A0972,2025-07-07,20000,Yes
O0288,A1936,2025-02-03,5000,No
O0289,A2847,2025-11-20,12000,No
O0290,A1287,2025-03-27,8000,Yes
O0291,A1442,2025-05-11,25000,Yes
O0292,A1722,2025-10-11,5000,No
O0293,A0341,2025-03-22,5000,Yes
O0294,A2982,2025-11-25,20000,Yes
O0295,A1543,2025-02-16,20000,Yes
O0296,A1709,2025-11-13,20000,No
O0297,A0779,2025-06-18,8000,Yes
O0298,A0558,2025-01-21,5000,Yes
O0299,A0606,2025-02-10,5000,Yes
O0300,A0200,2025-07-24,20000,Yes
O0301,A1047,2025-08-27,25000,No
O0302,A0763,2025-03-14,10000,No
O0303,A0533,2025-03-24,20000,No
O0304,A2275,2025-11-02,15000,No
O0305,A1429,2025-12-16,12000,No
O0306,A2767,2025-10-22,15000,Yes
O0307,A2795,2025-03-29,20000,Yes
O0308,A2775,2025-09-05,15000,No
O0309,A2314,2025-05-07,8000,Yes
O0310,A0968,2025-05-30,25000,Yes
O0311,A1404,2025-07-14,8000,Yes
O0312,A0444,2025-07-05,12000,No
O0313,A2535,2025-03-07,20000,Yes
O0314,A0306,2025-11-23,12000,No
O0315,A0757,2025-02-10,12000,Yes
O0316,A2155,2025-11-29,5000,No
O0317,A2084,2025-10-20,25000,No
O0318,A2105,2025-03-08,12000,Yes
O0319,A2249,2025-05-17,20000,Yes
O0320,A2319,2025-04-08,15000,No
O0321,A2076,2025-07-06,12000,Yes
O0322,A2549,2025-06-03,10000,No
O0323,A0288,2025-07-27,15000,Yes
O0324,A2659,2025-03-15,12000,No
O0325,A1078,2025-10-01,15000,Yes
O0326,A0611,2025-12-20,20000,Yes
O0327,A0105,2025-09-29,10000,Yes
O0328,A0519,2025-08-09,10000,No
O0329,A1353,2025-08-11,5000,No
O0330,A0053,2025-09-17,15000,Yes
O0331,A2544,2025-03-31,15000,No
O0332,A1837,2025-12-25,15000,Yes
O0333,A1129,2025-07-27,5000,Yes
O0334,A0877,2025-05-22,12000,No
O0335,A2482,2025-01-22,5000,No
O0336,A2032,2025-01-02,12000,Yes
O0337,A2444,2025-01-30,5000,Yes
O0338,A2494,2025-12-10,5000,Yes
O0339,A1144,2025-03-30,10000,No
O0340,A1298,2025-02-16,20000,No
O0341,A1304,2025-10-29,8000,No
O0342,A2593,2025-08-29,25000,Yes
O0343,A1951,2025-06-04,12000,No
O0344,A1353,2025-04-06,5000,Yes
O0345,A2406,2025-06-03,25000,Yes
O0346,A1326,2025-10-27,10000,Yes
O0347,A0045,2025-10-19,25000,No
O0348,A0093,2025-07-24,20000,Yes
O0349,A2094,2025-10-27,10000,Yes
O0350,A2775,2025-03-25,20000,No
O0351,A0079,2025-12-29,25000,Yes
O0352,A0446,2025-12-08,20000,No
O0353,A0826,2025-07-02,5000,Yes
O0354,A2463,2025-08-25,8000,Yes
O0355,A2946,2025-11-09,10000,No
O0356,A1528,2025-08-29,10000,Yes
O0357,A2304,2025-02-09,10000,No
O0358,A2348,2025-08-19,12000,Yes
O0359,A1699,2025-04-25,10000,No
O0360,A0670,2025-08-18,12000,No
O0361,A0798,2025-03-16,20000,Yes
O0362,A1509,2025-02-12,25000,No
O0363,A0124,2025-04-13,12000,Yes
O0364,A2585,2026-01-01,8000,No
O0365,A1103,2025-03-22,20000,No
O0366,A2070,2025-01-16,5000,No
O0367,A2361,2025-02-27,20000,No
O0368,A1542,2025-11-23,12000,No
O0369,A1182,2025-08-06,10000,No
O0370,A0067,2025-10-01,25000,Yes
O0371,A0365,2025-06-22,20000,Yes
O0372,A1567,2025-08-05,10000,No
O0373,A0162,2025-06-16,25000,No
O0374,A1654,2025-05-31,12000,No
O0375,A2347,2025-08-17,8000,No
O0376,A2728,2025-12-09,20000,No
O0377,A1203,2025-06-29,5000,Yes
O0378,A0243,2025-02-10,8000,Yes
O0379,A2839,2025-06-23,20000,No
O0380,A2439,2025-05-20,15000,Yes
O0381,A0220,2025-01-02,5000,Yes
O0382,A2222,2025-04-23,8000,No
O0383,A0889,2025-09-26,12000,Yes
O0384,A0806,2025-09-29,10000,No
O0385,A1583,2025-10-10,15000,No
O0386,A0746,2025-03-11,8000,Yes
O0387,A2751,2025-05-06,20000,No
O0388,A1707,2025-01-10,10000,No
O0389,A2757,2025-08-23,25000,No
O0390,A1480,2025-02-27,5000,Yes
O0391,A0714,2025-07-08,15000,Yes
O0392,A2938,2025-12-29,8000,Yes
O0393,A0504,2025-06-17,10000,Yes
O0394,A0301,2025-10-19,25000,Yes
O0395,A0787,2025-04-19,25000,No
O0396,A1609,2025-12-10,5000,Yes
O0397,A0250,2025-10-15,12000,Yes
O0398,A1560,2025-10-07,8000,No
O0399,A1631,2025-10-16,15000,Yes
O0400,A1872,2025-09-21,20000,Yes
O0401,A2386,2025-08-12,8000,Yes
O0402,A0461,2025-09-08,5000,Yes
O0403,A2944,2025-11-23,25000,No
O0404,A2756,2025-08-07,8000,Yes
O0405,A0777,2025-04-09,5000,Yes
O0406,A0494,2025-12-12,10000,No
O0407,A2845,2025-02-18,5000,No
O0408,A1012,2025-10-25,10000,Yes
O0409,A1139,2025-02-25,20000,No
O0410,A2870,2025-12-29,10000,Yes
O0411,A2412,2025-10-21,12000,No
O0412,A2728,2025-07-05,25000,Yes
O0413,A2900,2025-12-15,10000,No
O0414,A0542,2025-12-03,20000,No
O0415,A1836,2025-09-07,12000,No
O0416,A1071,2025-10-14,10000,Yes
O0417,A1733,2025-01-03,15000,No
O0418,A2737,2025-04-10,8000,No
O0419,A2235,2025-01-24,15000,No
O0420,A1622,2025-06-21,5000,No
O0421,A2984,2025-09-21,12000,No
O0422,A0415,2025-04-27,10000,Yes
O0423,A0804,2025-07-26,20000,No
O0424,A2189,2025-01-12,20000,Yes
O0425,A0009,2025-05-13,25000,Yes
O0426,A0133,2025-02-02,20000,Yes
O0427,A1680,2025-08-23,25000,Yes
O0428,A0145,2025-01-10,25000,Yes
O0429,A0567,2025-10-27,25000,No
O0430,A0911,2025-07-27,15000,No
O0431,A0957,2025-08-21,20000,Yes
O0432,A1710,2025-04-25,10000,No
O0433,A2448,2025-07-21,15000,No
O0434,A1683,2025-11-29,5000,No
O0435,A1442,2025-01-06,20000,Yes
O0436,A1455,2025-03-20,10000,Yes
O0437,A0773,2025-04-04,5000,Yes
O0438,A1088,2025-04-17,20000,No
O0439,A1002,2025-03-16,12000,No
O0440,A0096,2025-03-26,20000,Yes
O0441,A2503,2025-03-04,8000,No
O0442,A1656,2025-04-23,12000,No
O0443,A1205,2025-07-15,15000,No
O0444,A0497,2025-05-28,8000,No
O0445,A2807,2025-03-18,8000,Yes
O0446,A0848,2025-05-27,25000,Yes
O0447,A1744,2025-09-19,8000,Yes
O0448,A0506,2025-12-27,8000,No
O0449,A1930,2025-08-11,12000,Yes
O0450,A2794,2025-01-16,10000,Yes
O0451,A2847,2025-02-10,20000,Yes
O0452,A2656,2025-01-10,8000,Yes
O0453,A1691,2025-07-19,20000,Yes
O0454,A1403,2025-11-03,25000,Yes
O0455,A2451,2025-12-31,25000,Yes
O0456,A0829,2025-11-14,20000,Yes
O0457,A1984,2025-03-29,25000,Yes
O0458,A0107,2025-07-12,12000,Yes
O0459,A1579,2025-11-24,15000,No
O0460,A1996,2025-05-23,20000,No
O0461,A2843,2025-07-19,12000,Yes
O0462,A1352,2025-05-23,10000,Yes
O0463,A1062,2025-04-28,8000,No
O0464,A2420,2025-12-13,12000,Yes
O0465,A1330,2025-04-04,5000,No
O0466,A1420,2025-05-13,5000,No
O0467,A0159,2025-06-08,8000,Yes
O0468,A2484,2025-04-04,15000,Yes
O0469,A2982,2025-08-10,10000,Yes
O0470,A0080,2025-02-28,10000,No
O0471,A2359,2025-07-27,8000,Yes
O0472,A0182,2025-12-23,20000,No
O0473,A0118,2025-05-18,5000,Yes
O0474,A0173,2025-07-17,15000,Yes
O0475,A2474,2025-12-09,12000,No
O0476,A0217,2025-07-15,5000,Yes
O0477,A2050,2025-08-01,25000,No
O0478,A2585,2025-01-01,15000,Yes
O0479,A1026,2025-01-25,12000,No
O0480,A2049,2025-01-13,8000,Yes
O0481,A1316,2025-05-06,10000,No
O0482,A0049,2025-09-14,5000,No
O0483,A0587,2025-08-04,10000,No
O0484,A2627,2025-07-01,25000,No
O0485,A1390,2025-06-02,8000,No
O0486,A1282,2025-01-23,5000,No
O0487,A2371,2025-04-27,12000,No
O0488,A1027,2025-01-15,10000,Yes
O0489,A1738,2025-03-06,8000,Yes
O0490,A1798,2025-11-10,25000,No
O0491,A1774,2025-03-12,8000,No
O0492,A2650,2025-01-15,25000,Yes
O0493,A2855,2025-10-14,25000,No
O0494,A1112,2025-11-29,20000,Yes
O0495,A1149,2025-04-28,5000,No
O0496,A0724,2025-04-28,5000,No
O0497,A1044,2025-03-26,5000,No
O0498,A1439,2025-02-15,5000,Yes
O0499,A0847,2025-04-25,5000,Yes
O0500,A1719,2025-11-20,5000,No
O0501,A2673,2025-03-11,10000,Yes
O0502,A2501,2025-03-30,15000,No
O0503,A1334,2025-11-18,5000,No
O0504,A0351,2025-10-13,20000,No
O0505,A2002,2025-06-30,15000,No
O0506,A1118,2025-10-14,12000,No
O0507,A2728,2025-12-08,8000,Yes
O0508,A1517,2025-02-09,8000,Yes
O0509,A2932,2025-12-31,5000,Yes
O0510,A2782,2025-10-30,25000,Yes
O0511,A1381,2025-11-25,10000,No
O0512,A1345,2025-09-14,15000,No
O0513,A0656,2025-08-23,15000,Yes
O0514,A2855,2025-01-20,15000,No
O0515,A2523,2025-01-07,12000,Yes
O0516,A0164,2025-03-15,25000,No
O0517,A0190,2025-05-15,20000,No
O0518,A0009,2025-03-24,8000,Yes
O0519,A1158,2025-09-27,12000,No
O0520,A0700,2025-12-31,20000,Yes
O0521,A1412,2025-06-24,5000,No
O0522,A1443,2025-07-07,12000,No
O0523,A1127,2025-05-18,8000,Yes
O0524,A1774,2025-05-12,10000,No
O0525,A2841,2025-03-03,25000,Yes
O0526,A0773,2025-06-01,25000,No
O0527,A0691,2025-05-27,10000,No
O0528,A2099,2025-04-26,12000,Yes
O0529,A1678,2025-02-04,20000,Yes
O0530,A1453,2025-06-21,12000,Yes
O0531,A2562,2025-02-18,20000,Yes
O0532,A2998,2025-06-09,20000,Yes
O0533,A2925,2025-04-23,5000,No
O0534,A1848,2025-01-04,25000,Yes
O0535,A1181,2025-06-22,5000,Yes
O0536,A1432,2025-04-27,25000,Yes
O0537,A1276,2025-11-14,5000,Yes
O0538,A2513,2025-09-12,5000,Yes
O0539,A0310,2025-03-26,12000,Yes
O0540,A1266,2025-01-11,5000,No
O0541,A1719,2025-10-15,8000,Yes
O0542,A2067,2025-05-04,15000,No
O0543,A0698,2025-05-04,10000,Yes
O0544,A0437,2025-01-15,8000,Yes
O0545,A2759,2025-11-24,15000,Yes
O0546,A0372,2025-10-08,8000,Yes
O0547,A0959,2025-05-06,5000,Yes
O0548,A2803,2025-08-27,12000,No
O0549,A0376,2025-09-27,10000,No
O0550,A1127,2025-11-26,5000,Yes
O0551,A0894,2025-12-14,15000,No
O0552,A1694,2025-09-14,12000,Yes
O0553,A1495,2025-04-10,10000,No
O0554,A1249,2025-04-25,20000,No
O0555,A0232,2025-10-01,10000,Yes
O0556,A2828,2025-12-07,10000,Yes
O0557,A1950,2025-06-08,5000,Yes
O0558,A1301,2025-11-09,20000,Yes
O0559,A0445,2025-05-29,5000,No
O0560,A0549,2025-05-06,8000,Yes
O0561,A1759,2025-05-15,10000,Yes
O0562,A2204,2025-10-12,15000,No
O0563,A2842,2025-01-13,20000,No
O0564,A0972,2025-02-16,8000,Yes
O0565,A0874,2025-12-04,20000,Yes
O0566,A0395,2025-01-20,15000,No
O0567,A0995,2025-09-01,15000,No
O0568,A1797,2025-07-15,20000,No
O0569,A0001,2025-03-04,5000,No
O0570,A1197,2025-02-19,15000,Yes
O0571,A1091,2025-05-25,8000,Yes
O0572,A0303,2025-09-21,20000,Yes
O0573,A1143,2025-04-22,5000,Yes
O0574,A0234,2025-12-27,12000,No
O0575,A1331,2025-05-04,10000,Yes
O0576,A2869,2025-10-20,12000,Yes
O0577,A0058,2025-04-26,12000,Yes
O0578,A1902,2025-08-20,25000,Yes
O0579,A2217,2025-03-29,25000,No
O0580,A0747,2025-03-12,25000,No
O0581,A2019,2025-02-19,10000,Yes
O0582,A2158,2025-01-24,20000,Yes
O0583,A2884,2025-07-13,8000,No
O0584,A0041,2025-12-02,15000,No
O0585,A2314,2025-09-18,25000,No
O0586,A2275,2025-04-19,8000,Yes
O0587,A0335,2025-04-07,8000,Yes
O0588,A2019,2025-11-19,8000,No
O0589,A0474,2025-02-03,5000,Yes
O0590,A2163,2025-01-24,20000,No
O0591,A1463,2025-01-13,25000,No
O0592,A0083,2025-06-11,12000,No
O0593,A1231,2025-05-21,10000,No
O0594,A2594,2025-04-06,8000,No
O0595,A1620,2025-07-03,15000,No
O0596,A1430,2025-02-16,25000,No
O0597,A2779,2025-12-17,8000,Yes
O0598,A0362,2025-08-03,15000,No
O0599,A1072,2025-06-10,15000,Yes
O0600,A0704,2025-12-20,20000,Yes
O0601,A2771,2025-05-01,8000,No
O0602,A1176,2025-01-27,10000,No
O0603,A0720,2025-04-03,5000,No
O0604,A1210,2025-08-25,5000,Yes
O0605,A2440,2025-10-17,10000,No
O0606,A2092,2025-12-06,8000,Yes
O0607,A0433,2025-04-16,12000,No
O0608,A1774,2025-10-25,5000,Yes
O0609,A0758,2025-05-10,8000,No
O0610,A2787,2025-08-12,20000,No
O0611,A2188,2025-08-09,5000,Yes
O0612,A1153,2025-09-25,15000,Yes
O0613,A1664,2025-06-11,5000,No
O0614,A2176,2025-09-19,25000,No
O0615,A0853,2025-08-01,8000,No
O0616,A1340,2025-06-13,15000,No
O0617,A0942,2025-08-09,25000,Yes
O0618,A0225,2025-01-12,8000,No
O0619,A0684,2025-02-22,25000,Yes
O0620,A1359,2025-03-09,5000,Yes
O0621,A1458,2025-11-21,12000,Yes
O0622,A1662,2025-02-26,25000,Yes
O0623,A1904,2025-01-14,20000,No
O0624,A2901,2025-03-12,8000,No
O0625,A0578,2025-01-18,12000,No
O0626,A2847,2025-08-13,8000,No
O0627,A0145,2025-07-26,8000,No
O0628,A2884,2025-08-21,20000,Yes
O0629,A0657,2025-02-20,25000,No
O0630,A2808,2025-12-01,8000,No
O0631,A0377,2025-04-05,5000,No
O0632,A0490,2025-02-26,12000,No
O0633,A1016,2025-07-11,8000,Yes
O0634,A2063,2025-12-30,25000,No
O0635,A2194,2025-02-24,12000,Yes
O0636,A2882,2025-01-21,20000,Yes
O0637,A2634,2025-05-18,15000,Yes
O0638,A0669,2025-11-11,12000,Yes
O0639,A0460,2025-10-31,8000,No
O0640,A1779,2025-04-25,8000,No
O0641,A0054,2025-07-05,15000,Yes
O0642,A1918,2025-09-28,15000,Yes
O0643,A0995,2025-08-20,10000,No
O0644,A2365,2025-03-07,10000,No
O0645,A2694,2025-09-23,10000,Yes
O0646,A1124,2025-04-19,20000,Yes
O0647,A2194,2025-06-06,10000,No
O0648,A0597,2025-12-03,12000,No
O0649,A0738,2025-09-15,20000,No
O0650,A0802,2025-03-28,12000,No
O0651,A1273,2025-03-26,10000,Yes
O0652,A2559,2025-02-19,12000,Yes
O0653,A0297,2025-10-04,8000,Yes
O0654,A1897,2025-09-10,12000,Yes
O0655,A0282,2025-06-04,15000,No
O0656,A2240,2025-10-21,20000,No
O0657,A1680,2025-07-23,8000,No
O0658,A2398,2025-08-03,5000,No
O0659,A1066,2025-09-04,15000,Yes
O0660,A1096,2025-10-31,15000,No
O0661,A0406,2025-05-03,25000,No
O0662,A2280,2025-01-03,10000,Yes
O0663,A1038,2025-08-20,15000,Yes
