Application_ID,Student_ID,Company_ID,Applied_Date,Source,Status
A0101,S149,C026,2025-05-07,Naukri,Selected
A0102,S315,C070,2025-10-27,Referral,Selected
A0103,S448,C071,2025-01-16,Naukri,Applied
A0104,S064,C004,2025-01-29,Naukri,Applied
A0105,S355,C050,2025-02-04,LinkedIn,Selected
A0106,S379,C085,2025-04-04,Referral,Selected
A0107,S462,C007,2025-10-10,Naukri,Applied
A0108,S360,C049,2025-10-24,Company Website,Selected
A0109,S172,C024,2025-01-18,Company Website,Selected
A0110,S251,C091,2026-01-01,Internshala,Applied
A0111,S072,C034,2025-05-10,Naukri,Applied
A0112,S236,C002,2025-03-20,Internshala,Applied
A0113,S466,C068,2025-06-07,Naukri,Applied
A0114,S275,C016,2025-05-28,Referral,Interview
A0115,S415,C001,2025-10-22,Internshala,Rejected
A0116,S219,C066,2025-03-16,LinkedIn,Applied
A0117,S312,C008,2025-11-27,Naukri,Rejected
A0118,S008,C028,2025-03-17,Internshala,Selected
A0119,S078,C004,2025-07-11,Referral,Applied
A0120,S245,C039,2025-08-26,Company Website,Shortlisted
A0121,S463,C081,2025-03-14,LinkedIn,Selected
A0122,S312,C020,2025-08-20,Naukri,Interview
A0123,S260,C086,2025-08-29,Naukri,Applied
A0124,S251,C076,2025-07-19,Naukri,Selected
A0125,S360,C036,2025-04-19,Company Website,Rejected
A0126,S181,C084,2025-10-16,Referral,Selected
A0127,S077,C083,2025-06-12,Internshala,Shortlisted
A0128,S029,C059,2025-01-28,Internshala,Rejected
A0129,S268,C007,2025-07-14,Referral,Applied
A0130,S468,C090,2025-01-19,Naukri,Applied
A0131,S006,C047,2025-08-11,Naukri,Selected
A0132,S428,C073,2025-12-05,LinkedIn,Applied
A0133,S035,C047,2025-08-22,Company Website,Interview
A0134,S091,C096,2025-03-06,Company Website,Rejected
A0135,S358,C070,2025-04-09,Naukri,Shortlisted
A0136,S430,C049,2025-04-22,Referral,Rejected
A0137,S251,C088,2025-12-06,Company Website,Shortlisted
A0138,S035,C069,2025-03-21,Referral,Rejected
A0139,S276,C017,2025-02-06,Company Website,Selected
A0140,S046,C027,2025-01-07,Company Website,Shortlisted
A0141,S341,C022,2025-07-07,Company Website,Shortlisted
A0142,S127,C043,2025-06-03,Referral,Interview
A0143,S080,C008,2025-09-06,Company Website,Interview
A0144,S175,C001,2025-06-16,Internshala,Rejected
A0145,S460,C100,2025-12-24,Referral,Applied
A0146,S209,C092,2025-05-26,Company Website,Shortlisted
A0147,S448,C015,2025-08-03,Company Website,Applied
A0148,S062,C060,2025-03-24,LinkedIn,Selected
A0149,S273,C011,2025-01-04,Referral,Rejected
A0150,S134,C074,2025-09-05,LinkedIn,Selected
A0151,S484,C015,2025-07-28,Company Website,Shortlisted
A0152,S202,C003,2025-08-16,Company Website,Rejected
A0153,S365,C064,2025-12-23,Company Website,Interview
A0154,S288,C085,2025-03-21,Company Website,Shortlisted
A0155,S117,C061,2025-09-13,Referral,Selected
A0156,S207,C039,2025-10-10,Company Website,Rejected
A0157,S389,C003,2025-09-14,Referral,Interview
A0158,S324,C091,2025-08-26,Internshala,Shortlisted
A0159,S121,C029,2025-07-11,Referral,Shortlisted
A0160,S272,C100,2025-01-14,Referral,Rejected
A0161,S410,C005,2025-01-30,Naukri,Selected
A0162,S390,C040,2025-03-26,Naukri,Applied
A0163,S087,C060,2025-06-10,LinkedIn,Rejected
A0164,S126,C005,2025-01-09,Naukri,Selected
A0165,S233,C099,2025-06-30,LinkedIn,Selected
A0166,S324,C088,2025-07-02,Internshala,Applied
A0167,S080,C033,2025-01-22,Naukri,Shortlisted
A0168,S059,C066,2026-01-01,Company Website,Interview
A0169,S180,C041,2025-10-10,Company Website,Interview
A0170,S306,C038,2025-08-08,LinkedIn,Applied
A0171,S247,C086,2025-07-04,Company Website,Selected
A0172,S242,C046,2025-02-05,Naukri,Rejected
A0173,S098,C071,2025-06-14,Internshala,Shortlisted
A0174,S003,C094,2025-10-27,Company Website,Applied
A0175,S391,C094,2025-03-29,Naukri,Selected
A0176,S185,C051,2025-03-03,Company Website,Shortlisted
A0177,S405,C026,2025-10-22,LinkedIn,Selected
A0178,S419,C007,2025-10-09,Internshala,Selected
A0179,S043,C100,2025-12-04,Referral,Applied
A0180,S126,C083,2025-03-31,Naukri,Selected
A0181,S208,C091,2025-10-14,Naukri,Selected
A0182,S359,C030,2025-08-11,Company Website,Shortlisted
A0183,S119,C093,2025-12-26,Internshala,Selected
A0184,S429,C092,2025-03-08,Naukri,Rejected
A0185,S337,C095,2025-01-27,Referral,Shortlisted
A0186,S097,C011,2025-07-21,Referral,Applied
A0187,S310,C065,2025-04-27,Referral,Interview
A0188,S162,C063,2025-10-26,Naukri,Selected
A0189,S125,C049,2025-07-24,Company Website,Rejected
A0190,S055,C054,2025-11-05,Referral,Applied
A0191,S127,C008,2025-02-25,LinkedIn,Interview
A0192,S127,C036,2025-12-25,Internshala,Interview
A0193,S274,C048,2025-03-11,Internshala,Rejected
A0194,S327,C017,2025-12-25,LinkedIn,Applied
A0195,S387,C099,2025-08-19,LinkedIn,Selected
A0196,S491,C079,2025-11-13,LinkedIn,Shortlisted
A0197,S306,C018,2025-07-28,Naukri,Selected
A0198,S237,C009,2025-03-29,LinkedIn,Interview
A0199,S333,C085,2025-05-18,Naukri,Applied
A0200,S227,C090,2025-09-24,LinkedIn,Applied
A0201,S018,C057,2025-09-29,Company Website,Rejected
A0202,S275,C040,2025-11-05,Referral,Interview
A0203,S150,C076,2025-03-11,Company Website,Interview
A0204,S183,C009,2025-05-14,Internshala,Interview
A0205,S360,C072,2025-02-22,Internshala,Selected
A0206,S161,C060,2025-08-08,Company Website,Shortlisted
A0207,S141,C015,2025-03-18,Referral,Rejected
A0208,S087,C001,2025-08-16,Internshala,Selected
A0209,S452,C035,2025-03-23,Internshala,Shortlisted
A0210,S349,C082,2025-12-10,Naukri,Applied
A0211,S028,C098,2025-10-27,Naukri,Rejected
A0212,S275,C071,2025-03-19,LinkedIn,Rejected
A0213,S152,C046,2025-08-25,Internshala,Interview
A0214,S441,C033,2025-02-06,Naukri,Interview
A0215,S434,C009,2025-11-28,LinkedIn,Rejected
A0216,S127,C057,2025-10-05,Naukri,Rejected
A0217,S319,C035,2025-10-12,Internshala,Applied
A0218,S433,C065,2025-08-09,Internshala,Selected
A0219,S308,C090,2025-01-29,Internshala,Interview
A0220,S245,C063,2025-05-25,Referral,Selected
A0221,S477,C001,2025-07-11,Internshala,Rejected
A0222,S298,C083,2025-08-29,Naukri,Shortlisted
A0223,S199,C056,2025-06-14,Internshala,Applied
A0224,S175,C015,2025-02-16,LinkedIn,Interview
A0225,S224,C031,2025-04-01,Referral,Shortlisted
A0226,S394,C001,2025-09-15,Referral,Interview
A0227,S328,C021,2025-06-25,Referral,Shortlisted
A0228,S463,C076,2025-12-22,LinkedIn,Shortlisted
A0229,S162,C002,2025-06-24,Company Website,Shortlisted
A0230,S230,C008,2025-11-01,Company Website,Rejected
A0231,S069,C003,2025-10-13,Internshala,Rejected
A0232,S092,C067,2025-10-30,LinkedIn,Shortlisted
A0233,S255,C081,2025-06-09,Referral,Interview
A0234,S025,C050,2025-03-27,Naukri,Selected
A0235,S335,C084,2025-01-05,Company Website,Selected
A0236,S453,C053,2025-11-08,Referral,Applied
A0237,S016,C075,2025-03-26,Internshala,Selected
A0238,S099,C076,2025-09-19,Referral,Selected
A0239,S195,C031,2025-06-24,Referral,Shortlisted
A0240,S185,C074,2025-10-26,LinkedIn,Rejected
A0241,S428,C002,2025-03-17,LinkedIn,Shortlisted
A0242,S105,C035,2025-05-05,LinkedIn,Selected
A0243,S212,C094,2025-01-31,Company Website,Interview
A0244,S358,C001,2025-11-17,Naukri,Shortlisted
A0245,S316,C074,2025-04-15,Internshala,Applied
A0246,S152,C020,2025-09-23,Referral,Selected
A0247,S197,C012,2025-03-06,Company Website,Applied
A0248,S155,C086,2025-04-04,Company Website,Selected
A0249,S150,C098,2025-01-29,Company Website,Interview
A0250,S024,C047,2025-02-04,LinkedIn,Interview
A0251,S270,C055,2025-01-20,LinkedIn,Rejected
A0252,S486,C084,2025-03-29,Naukri,Applied
A0253,S407,C030,2025-12-10,Company Website,Applied
A0254,S040,C039,2025-01-24,Company Website,Interview
A0255,S171,C066,2025-11-08,Referral,Rejected
A0256,S497,C038,2025-07-17,Internshala,Selected
A0257,S008,C072,2025-10-05,LinkedIn,Selected
A0258,S117,C072,2025-02-05,Company Website,Rejected
A0259,S359,C046,2025-05-18,Referral,Applied
A0260,S026,C042,2025-10-26,Company Website,Interview
A0261,S165,C022,2025-03-22,Internshala,Selected
A0262,S049,C096,2025-07-04,Naukri,Interview
A0263,S027,C082,2025-06-06,LinkedIn,Rejected
A0264,S146,C015,2025-12-31,Internshala,Applied
A0265,S068,C074,2025-01-16,Internshala,Shortlisted
A0266,S182,C069,2025-01-10,Referral,Interview
A0267,S279,C088,2025-07-14,Referral,Selected
A0268,S320,C058,2025-06-12,LinkedIn,Shortlisted
A0269,S151,C025,2025-06-30,Internshala,Rejected
A0270,S457,C037,2025-08-01,LinkedIn,Selected
A0271,S074,C029,2025-07-15,Referral,Interview
A0272,S345,C087,2025-06-03,Naukri,Rejected
A0273,S351,C056,2025-01-11,LinkedIn,Shortlisted
A0274,S195,C099,2025-12-25,Naukri,Shortlisted
A0275,S026,C011,2025-07-05,Internshala,Applied
A0276,S345,C024,2025-12-04,Referral,Applied
A0277,S490,C083,2025-02-09,LinkedIn,Selected
A0278,S121,C090,2025-02-04,Referral,Selected
A0279,S420,C064,2025-05-14,LinkedIn,Applied
A0280,S278,C014,2025-04-11,Referral,Rejected
A0281,S323,C010,2025-07-13,Internshala,Applied
A0282,S167,C078,2025-02-28,Internshala,Shortlisted
A0283,S124,C058,2025-03-07,Company Website,Interview
A0284,S388,C038,2025-04-14,Company Website,Applied
A0285,S223,C017,2025-08-11,Internshala,Shortlisted
A0286,S386,C047,2025-03-14,Referral,Interview
A0287,S341,C073,2025-11-23,Referral,Rejected
A0288,S208,C027,2025-09-09,Company Website,Applied
A0289,S133,C007,2025-03-23,Company Website,Rejected
A0290,S349,C013,2025-03-15,Referral,Shortlisted
A0291,S141,C029,2025-02-27,LinkedIn,Applied
A0292,S356,C054,2025-07-24,Referral,Applied
A0293,S393,C093,2025-02-20,Naukri,Selected
A0294,S157,C007,2025-04-24,Company Website,Interview
A0295,S145,C057,2025-11-11,Referral,Selected
A0296,S421,C003,2025-11-08,Naukri,Shortlisted
A0297,S342,C093,2025-04-17,LinkedIn,Applied
A0298,S315,C019,2025-11-08,Internshala,Interview
A0299,S481,C033,2025-09-26,Referral,Interview
A0300,S336,C007,2025-12-13,Referral,Shortlisted
A0301,S390,C074,2025-04-17,Company Website,Interview
A0302,S249,C055,2025-10-20,Company Website,Selected
A0303,S184,C054,2025-06-15,Referral,Shortlisted
A0304,S163,C069,2025-07-21,LinkedIn,Applied
A0305,S387,C089,2025-09-06,Company Website,Shortlisted
A0306,S461,C005,2025-08-18,Naukri,Applied
A0307,S244,C076,2025-03-29,LinkedIn,Shortlisted
A0308,S360,C083,2025-12-29,LinkedIn,Rejected
A0309,S377,C083,2025-03-23,Referral,Shortlisted
A0310,S312,C048,2025-11-09,Naukri,Applied
A0311,S265,C060,2025-05-04,Naukri,Selected
A0312,S329,C010,2025-11-28,Naukri,Selected
A0313,S052,C008,2025-03-30,Naukri,Shortlisted
A0314,S313,C031,2025-02-09,Company Website,Applied
A0315,S060,C013,2025-02-07,LinkedIn,Applied
A0316,S246,C057,2025-02-09,Referral,Rejected
A0317,S299,C027,2025-02-24,Naukri,Applied
A0318,S488,C082,2025-10-23,Internshala,Shortlisted
A0319,S272,C036,2025-06-12,Naukri,Rejected
A0320,S277,C027,2025-08-12,Naukri,Rejected
A0321,S229,C060,2025-10-26,Referral,Interview
A0322,S337,C058,2025-01-01,Internshala,Applied
A0323,S134,C068,2025-05-11,LinkedIn,Rejected
A0324,S209,C053,2025-06-04,Company Website,Applied
A0325,S153,C021,2025-06-26,Naukri,Applied
A0326,S034,C049,2025-11-21,Internshala,Shortlisted
A0327,S124,C006,2025-06-25,Internshala,Selected
A0328,S204,C067,2025-02-02,Internshala,Interview
A0329,S421,C091,2025-07-23,Naukri,Applied
A0330,S463,C096,2025-05-30,Naukri,Interview
A0331,S124,C003,2025-04-16,Naukri,Shortlisted
A0332,S005,C016,2025-05-15,Internshala,Selected
A0333,S058,C045,2025-02-12,Referral,Rejected
A0334,S362,C052,2025-12-18,Internshala,Applied
A0335,S204,C053,2025-08-06,Company Website,Rejected
A0336,S404,C091,2025-01-25,Internshala,Interview
A0337,S002,C065,2025-11-04,LinkedIn,Selected
A0338,S278,C074,2025-09-20,LinkedIn,Rejected
A0339,S224,C016,2025-09-13,Referral,Shortlisted
A0340,S460,C050,2025-02-09,Internshala,Applied
A0341,S072,C090,2025-12-08,Internshala,Interview
A0342,S156,C078,2025-09-30,Naukri,Applied
A0343,S222,C055,2025-06-21,Naukri,Selected
A0344,S474,C009,2025-11-12,Company Website,Applied
A0345,S062,C060,2025-09-07,Internshala,Interview
A0346,S406,C019,2025-10-21,LinkedIn,Applied
A0347,S272,C089,2025-09-03,Internshala,Selected
A0348,S377,C034,2025-03-18,Naukri,Selected
A0349,S153,C008,2025-10-20,Internshala,Rejected
A0350,S236,C070,2025-12-31,Internshala,Selected
A0351,S008,C073,2025-06-01,Naukri,Rejected
A0352,S421,C086,2025-05-17,Naukri,Rejected
A0353,S105,C065,2025-11-14,Naukri,Applied
A0354,S101,C012,2025-08-29,Internshala,Interview
A0355,S388,C057,2025-06-25,LinkedIn,Interview
A0356,S361,C021,2025-02-18,Referral,Applied
A0357,S424,C067,2025-12-05,Referral,Interview
A0358,S046,C047,2025-11-05,Referral,Interview
A0359,S292,C047,2025-03-11,Company Website,Applied
A0360,S454,C083,2025-06-01,Internshala,Selected
A0361,S416,C056,2025-02-03,LinkedIn,Rejected
A0362,S184,C063,2025-08-15,Internshala,Selected
A0363,S441,C083,2025-03-22,Internshala,Rejected
A0364,S118,C090,2025-01-23,Naukri,Selected
A0365,S403,C005,2025-10-16,LinkedIn,Applied
A0366,S364,C027,2025-10-31,Internshala,Selected
A0367,S210,C092,2025-01-07,Company Website,Selected
A0368,S006,C010,2025-05-24,Company Website,Applied
A0369,S377,C097,2025-04-27,Company Website,Selected
A0370,S096,C067,2025-10-29,LinkedIn,Rejected
A0371,S097,C044,2025-07-31,Company Website,Rejected
A0372,S242,C024,2025-09-23,LinkedIn,Applied
A0373,S055,C006,2025-04-25,Referral,Applied
A0374,S436,C097,2025-01-29,Company Website,Interview
A0375,S293,C094,2025-05-21,Company Website,Rejected
A0376,S342,C066,2025-06-20,Referral,Applied
A0377,S387,C069,2025-03-29,Internshala,Selected
A0378,S332,C058,2025-08-20,Company Website,Selected
A0379,S316,C057,2025-05-01,Company Website,Interview
A0380,S451,C071,2025-03-20,Naukri,Shortlisted
A0381,S016,C094,2025-12-23,Internshala,Shortlisted
A0382,S021,C002,2025-03-19,Referral,Applied
A0383,S492,C082,2025-07-24,LinkedIn,Selected
A0384,S089,C077,2025-01-21,Referral,Selected
A0385,S426,C005,2025-02-18,LinkedIn,Rejected
A0386,S402,C086,2025-03-27,Naukri,Selected
A0387,S172,C010,2025-10-07,Company Website,Applied
A0388,S105,C097,2025-12-20,Company Website,Selected
A0389,S463,C077,2025-11-05,Referral,Interview
A0390,S238,C066,2025-08-10,Referral,Rejected
A0391,S404,C043,2025-09-11,Referral,Interview
A0392,S174,C071,2025-06-29,Referral,Applied
A0393,S112,C018,2025-06-01,Naukri,Applied
A0394,S160,C042,2025-02-07,Company Website,Shortlisted
A0395,S456,C100,2025-08-21,Company Website,Rejected
A0396,S266,C072,2025-02-02,Company Website,Selected
A0397,S478,C031,2025-03-22,Referral,Applied
A0398,S327,C021,2025-05-01,Company Website,Selected
A0399,S379,C051,2025-05-10,Naukri,Selected
A0400,S158,C058,2025-07-28,Referral,Applied
A0401,S201,C086,2025-01-24,Company Website,Applied
A0402,S410,C085,2025-12-31,LinkedIn,Applied
A0403,S207,C056,2025-10-08,LinkedIn,Shortlisted
A0404,S201,C003,2025-12-11,Company Website,Rejected
A0405,S086,C057,2025-03-16,Internshala,Selected
A0406,S307,C015,2025-09-05,LinkedIn,Selected
A0407,S189,C061,2025-09-27,Company Website,Selected
A0408,S379,C006,2025-05-07,Referral,Applied
A0409,S228,C099,2025-03-13,Referral,Shortlisted
A0410,S241,C058,2025-04-02,Internshala,Interview
A0411,S251,C035,2025-11-17,Company Website,Interview
A0412,S085,C035,2025-01-29,Company Website,Interview
A0413,S038,C040,2025-08-01,LinkedIn,Selected
A0414,S057,C098,2025-12-22,Naukri,Interview
A0415,S114,C069,2025-02-04,Referral,Rejected
A0416,S234,C014,2025-12-15,Internshala,Shortlisted
A0417,S261,C083,2025-05-30,Naukri,Rejected
A0418,S414,C036,2025-02-03,Naukri,Interview
A0419,S490,C039,2025-09-24,Company Website,Shortlisted
A0420,S153,C006,2025-08-06,Referral,Rejected
A0421,S330,C074,2025-04-15,Company Website,Applied
A0422,S316,C002,2025-04-06,Internshala,Interview
A0423,S486,C065,2025-12-04,LinkedIn,Applied
A0424,S262,C001,2025-07-29,Company Website,Applied
A0425,S020,C008,2025-02-12,LinkedIn,Interview
A0426,S278,C036,2025-08-29,Referral,Rejected
A0427,S419,C069,2025-02-04,Internshala,Selected
A0428,S204,C016,2025-11-06,Referral,Rejected
A0429,S089,C017,2025-12-22,Referral,Shortlisted
A0430,S325,C021,2025-10-18,Naukri,Rejected
A0431,S200,C093,2025-02-25,Company Website,Interview
A0432,S158,C012,2025-10-23,Referral,Selected
A0433,S321,C030,2025-07-07,Internshala,Rejected
A0434,S421,C079,2025-02-02,Naukri,Applied
A0435,S483,C074,2025-11-04,Referral,Rejected
A0436,S185,C065,2025-12-21,Company Website,Applied
A0437,S334,C095,2025-09-13,Naukri,Rejected
A0438,S124,C055,2025-11-02,Internshala,Shortlisted
A0439,S197,C078,2025-09-20,Naukri,Rejected
A0440,S198,C059,2025-01-31,Referral,Selected
A0441,S289,C079,2025-12-20,Company Website,Rejected
A0442,S338,C033,2025-05-18,LinkedIn,Rejected
A0443,S437,C038,2025-07-14,Company Website,Selected
A0444,S247,C058,2025-12-26,Company Website,Applied
A0445,S490,C032,2025-05-20,Naukri,Shortlisted
A0446,S217,C016,2025-07-28,Referral,Rejected
A0447,S408,C081,2025-12-23,Company Website,Interview
A0448,S422,C087,2025-07-02,Company Website,Applied
A0449,S159,C015,2025-07-25,LinkedIn,Interview
A0450,S318,C030,2025-09-05,Naukri,Interview
A0451,S086,C021,2025-01-08,Internshala,Rejected
A0452,S008,C025,2025-08-21,Internshala,Interview
A0453,S330,C036,2025-07-14,LinkedIn,Applied
A0454,S165,C035,2025-08-27,Internshala,Interview
A0455,S138,C054,2025-01-18,Company Website,Interview
A0456,S238,C008,2025-11-12,Referral,Shortlisted
A0457,S159,C033,2025-07-22,LinkedIn,Interview
A0458,S157,C004,2025-12-22,Referral,Rejected
A0459,S229,C067,2025-02-14,Company Website,Interview
A0460,S388,C077,2025-07-16,Internshala,Interview
A0461,S361,C015,2025-01-18,Company Website,Selected
A0462,S276,C064,2025-04-08,Naukri,Shortlisted
A0463,S370,C096,2025-03-19,Company Website,Shortlisted
A0464,S304,C042,2025-08-13,Naukri,Interview
A0465,S487,C015,2025-02-13,Referral,Applied
A0466,S497,C097,2025-12-03,Company Website,Shortlisted
A0467,S429,C035,2025-11-20,Referral,Selected
A0468,S242,C012,2025-04-03,Naukri,Selected
A0469,S231,C034,2025-06-21,Naukri,Rejected
A0470,S188,C098,2025-06-04,LinkedIn,Rejected
A0471,S075,C071,2025-08-07,Internshala,Interview
A0472,S383,C076,2025-02-10,Internshala,Shortlisted
A0473,S089,C062,2025-01-26,Company Website,Rejected
A0474,S298,C094,2025-01-21,Referral,Rejected
A0475,S463,C020,2025-12-05,Internshala,Interview
A0476,S403,C004,2025-07-21,Company Website,Shortlisted
A0477,S326,C052,2025-05-23,Internshala,Shortlisted
A0478,S151,C008,2025-02-16,LinkedIn,Rejected
A0479,S175,C022,2025-11-21,Internshala,Interview
A0480,S023,C011,2025-08-03,Internshala,Rejected
A0481,S216,C099,2025-10-19,Referral,Rejected
A0482,S490,C088,2025-05-14,Naukri,Rejected
A0483,S492,C018,2025-07-10,Internshala,Shortlisted
A0484,S308,C071,2025-05-23,Company Website,Applied
A0485,S388,C098,2025-11-22,Referral,Shortlisted
A0486,S177,C077,2025-12-23,Referral,Interview
A0487,S252,C056,2025-05-21,LinkedIn,Selected
A0488,S145,C087,2025-12-08,Company Website,Rejected
A0489,S378,C044,2025-10-27,LinkedIn,Rejected
A0490,S487,C050,2025-06-22,Naukri,Applied
A0491,S099,C087,2025-11-14,Naukri,Interview
A0492,S379,C073,2025-06-17,Company Website,Interview
A0493,S225,C099,2025-11-02,LinkedIn,Applied
A0494,S406,C016,2025-10-25,Internshala,Shortlisted
A0495,S336,C071,2025-11-01,Referral,Rejected
A0496,S275,C003,2025-03-31,Naukri,Rejected
A0497,S172,C055,2025-10-24,Internshala,Selected
A0498,S487,C033,2025-02-23,Company Website,Shortlisted
A0499,S186,C013,2025-07-03,Internshala,Selected
A0500,S452,C034,2025-06-12,Referral,Shortlisted
A0501,S468,C002,2025-08-11,Referral,Shortlisted
A0502,S128,C014,2025-06-15,Referral,Selected
A0503,S498,C099,2025-08-06,LinkedIn,Selected
A0504,S138,C090,2025-08-10,Referral,Interview
A0505,S272,C079,2025-12-15,Referral,Rejected
A0506,S175,C071,2025-12-23,Internshala,Shortlisted
A0507,S499,C054,2025-10-12,LinkedIn,Applied
A0508,S344,C027,2025-01-19,Naukri,Shortlisted
A0509,S237,C072,2025-03-05,LinkedIn,Rejected
A0510,S147,C060,2025-08-28,Naukri,Rejected
A0511,S018,C018,2025-01-04,Naukri,Shortlisted
A0512,S010,C075,2025-11-22,Referral,Selected
A0513,S268,C047,2025-09-14,LinkedIn,Applied
A0514,S405,C033,2025-11-06,Naukri,Applied
A0515,S185,C021,2025-12-06,Naukri,Selected
A0516,S394,C053,2025-01-10,LinkedIn,Applied
A0517,S435,C083,2025-06-09,Internshala,Rejected
A0518,S471,C089,2025-12-15,Referral,Applied
